Monday - Friday West Route Shuttle,,,,,,,
Union,Sage Ave,Blitman,City Station,Poly Tech,15th & College ,Union,
4:50p,4:52p,4:55p,4:58p,5:00p,5:02p,5:05p,
5:02p,5:04p,5:08p,5:10p,5:12p,5:15p,5:18p,
5:05p,5:08p,5:11p,5:14p,5:17p,5:20p,5:23p,
5:23p,5:26p,5:29p,5:32p,5:35p,5:37p,5:38p,
5:38p,5:40p,5:43p,5:46p,5:48p,5:50p,5:53p,
5:53p,5:55p,5:59p,6:01p,6:03p,6:05p,6:08p,
5:58p,6:00p,6:04p,6:07p,6:09p,6:11p,6:14p,
6:08p,6:10p,6:14p,6:17p,6:19p,6:21p,6:23p,
6:14p,6:16p,6:20p,6:24p,6:27p,6:29p,6:33p,
6:23p,6:25p,6:29p,6:32p,6:34p,6:37p,6:40p,
6:33p,6:35p,6:40p,6:43p,6:46p,6:48p,6:51p,
6:40p,6:42p,6:46p,6:49p,6:51p,6:53p,6:56p,
6:51p,6:53p,6:57p,7:00p,7:03p,7:06p,7:09p,
6:56p,6:58p,7:02p,7:04p,7:06p,7:08p,7:10p,
7:10p,7:12p,7:15p,7:17p,7:19p,7:21p,7:24p,
7:24p,7:26p,7:28p,7:30p,7:32p,7:33p,7:36p,
7:36p,7:38p,7:42p,7:45p,7:48p,7:51p,7:55p,
7:55p,7:57p,8:00p,8:03p,8:06p,8:08p,8:10p,
8:04p,8:06p,8:08p,8:11p,8:13p,8:15p,8:18p,
8:10p,8:12p,8:16p,8:18p,8:20p,8:22p,8:25p,
8:18p,8:20p,8:24p,8:27p,8:29p,8:31p,8:33p,
8:25p,8:27p,8:30p,8:32p,8:34p,8:36p,8:40p,
8:33p,8:35p,8:38p,8:40p,8:42p,8:44p,8:47p,
8:40p,8:43p,8:47p,8:50p,8:53p,8:56p,9:00p,
8:47p,8:49p,8:52p,8:54p,8:57p,8:59p,9:01p,
9:01p,9:04p,9:07p,9:10p,9:14p,9:17p,9:20p,
9:20p,9:22p,9:25p,9:27p,9:29p,9:31p,9:34p,
9:34p,9:36p,9:39p,9:41p,9:43p,9:46p,9:52p,
9:40p,9:42p,9:45p,9:47p,9:49p,9:51p,9:54p,
9:52p,9:54p,9:57p,10:00p,10:02p,10:05p,10:07p,
9:54p,9:57p,10:00p,10:03p,10:05p,10:08p,10:11p,
10:07p,10:09p,10:12p,10:14p,10:16p,10:18p,10:21p,
10:11p,10:13p,10:16p,10:18p,10:20p,10:22p,10:25p,
10:21p,10:24p,10:27p,10:30p,10:33p,10:36p,10:40p,
10:25p,10:27p,10:30p,10:32p,10:34p,10:37p,10:41p,
10:41p,10:43p,10:46p,10:49p,10:53p,10:57p,11:00p,
